SA2_NAME16,Population
Mulgoa - Luddenham - Orchard Hills,12362
Penrith,18854
Warragamba - Silverdale,6446
Cranebrook - Castlereagh,17099
Jordan Springs - Llandilo,14225
Richmond - Clarendon,15532
Windsor - Bligh Park,15359
Yarramundi - Londonderry,7461
Erskine Park,6503
St Clair,20007
Colyton - Oxley Park,13176
St Marys - North St Marys,17678
Rookwood Cemetery,5
Auburn - Central,19751
Auburn - North,10580
Auburn - South,8953
Berala,8502
Lidcombe,21483
Regents Park,5102
Silverwater - Newington,9076
Wentworth Point - Sydney Olympic Park,21985
Ermington - Rydalmere,25193
Oatlands - Dundas Valley,18637
Carlingford - East,11586
Carlingford - West,19553
Chester Hill - Sefton,21016
Fairfield - East,15766
Granville - Clyde,23627
Guildford - South Granville,22542
Guildford West - Merrylands West,23285
Smithfield Industrial,13
Yennora Industrial,13
Greystanes - South,16481
Merrylands - Holroyd,24083
Pemulwuy - Greystanes (North),10957
South Wentworthville,7408
North Parramatta,22919
North Rocks,8470
Northmead,20401
Toongabbie - Constitution Hill,23046
Winston Hills,11061
Pendle Hill - Girraween,13810
Wentworthville - Westmead,22145
Parramatta - North,12467
Parramatta - South,9812
Rosehill - Harris Park,8919
Pennant Hills - Cheltenham,21794
Epping (East) - North Epping,14856
Epping (NSW) - West,18707
Gladesville - Huntleys Point,15521
Hunters Hill - Woolwich,10165
Macquarie Park - Marsfield,24831
North Ryde - East Ryde,15687
West Ryde - Meadowbank,20286
Putney,4171
Denistone,6964
Eastwood,19132
Ryde - North,20472
Ryde - South,12359
Ashcroft - Busby - Miller,18023
Austral - Greendale,14529
Badgerys Creek,23
Cecil Hills,6856
Green Valley,12779
Hinchinbrook,12993
Hoxton Park - Carnes Hill - Horningsea Park,13543
West Hoxton - Middleton Grange,17341
Cobbitty - Bringelly,4991
Gledswood Hills - Gregory Hills,16558
Leppington - Catherine Field,14603
Oran Park,20627
Bonnyrigg Heights - Bonnyrigg,17133
Bossley Park - Abbotsbury,19415
Cabramatta - Lansvale,23674
Cabramatta West - Mount Pritchard,18136
Canley Vale - Canley Heights,22086
Edensor Park,10188
Fairfield,17964
Fairfield - West,21329
Greenfield Park - Prairiewood,8703
Horsley Park - Kemps Creek,4256
Smithfield - Wetherill Park,19436
St Johns Park - Wakeley,11062
Wetherill Park Industrial,39
Casula,16498
Chipping Norton - Moorebank,20996
Holsworthy - Wattle Grove,21041
Lurnea - Cartwright,12839
Warwick Farm,5956
Edmondson Park,14262
Liverpool - East,18627
Liverpool - West,13729
Prestons,15660
Gymea - Grays Point,18195
Miranda - Yowie Bay,21264
Sylvania - Taren Point,16431
Caringbah,13066
Caringbah South,13049
Cronulla - Kurnell - Bundeena,24582
Lilli Pilli - Port Hacking - Dolans Bay,3425
Woolooware - Burraneer,9096
Heathcote - Waterfall,6711
Illawong - Alfords Point,10500
Menai - Lucas Heights - Woronora,20817
Oyster Bay - Como - Jannali,22248
Royal National Park,45
Sutherland - Kirrawee,23574
Engadine,17397
Loftus - Yarrawarrah,7354
Woronora Heights,3536
Alfredton,17991
Ballarat,11931
Buninyong,7244
Delacombe,11790
Smythes Creek,4222
Wendouree - Miners Rest,15380
Ballarat East - Warrenheip,9635
Ballarat - North,14886
Canadian - Mount Clear,12388
Sebastopol - Redan,12953
Bacchus Marsh Surrounds,6539
Creswick - Clunes,7967
Daylesford,10000
Gordon (Vic.),6377
Avoca,3541
Beaufort,4611
Golden Plains - North,4893
Maryborough (Vic.),8169
Maryborough Surrounds,5564
